"date","county","result","count"
2020-04-14,"Santa Cruz","negative",0
2020-04-15,"Santa Cruz","positive",5
2020-04-15,"Santa Cruz","negative",120
2020-04-16,"Santa Cruz","positive",0
2020-04-16,"Santa Cruz","negative",54
2020-04-17,"Santa Cruz","positive",2
2020-04-17,"Santa Cruz","negative",46
2020-04-18,"Santa Cruz","positive",3
2020-04-18,"Santa Cruz","negative",62
2020-04-19,"Santa Cruz","positive",3
2020-04-19,"Santa Cruz","negative",50
2020-04-20,"Santa Cruz","positive",2
2020-04-20,"Santa Cruz","negative",95
2020-04-21,"Santa Cruz","positive",2
2020-04-21,"Santa Cruz","negative",81
2020-04-22,"Santa Cruz","positive",3
2020-04-22,"Santa Cruz","negative",19
2020-04-23,"Santa Cruz","positive",3
2020-04-23,"Santa Cruz","negative",86
2020-04-24,"Santa Cruz","positive",1
2020-04-24,"Santa Cruz","negative",137
2020-04-25,"Santa Cruz","positive",0
2020-04-25,"Santa Cruz","negative",0
2020-04-26,"Santa Cruz","positive",5
2020-04-26,"Santa Cruz","negative",218
2020-04-27,"Santa Cruz","positive",4
2020-04-27,"Santa Cruz","negative",89
2020-04-28,"Santa Cruz","positive",1
2020-04-28,"Santa Cruz","negative",0
